Author,Title,Era,Locus,Text,Poetry/Prose
"Gellius","Attic Nights","Later Imperial","","...esse usus ac tali ioco dignus quali apud Aristophanen, facetissimum comicorum, Euripides Aeschylum insectatus est, cum ait:  δὶς ταὐτὸν ἡμῖν εἶπεν ὁ σοφὸς αἰσχύλος....","Poetry"
"Gellius","Attic Nights","Later Imperial","","Philochorus refert in insula Salamine speluncam esse taetram et horridam, quam nos vidimus, in qua Euripides tragoedias scriptitarit.","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","Philochorus refert in insula Salamine speluncam esse taetram et horridam, quam nos vidimus, in qua Euripides tragoedias scriptitarit.","Poetry"
"Gellius","Attic Nights","Later Imperial","","In hoc tempore nobiles celebresque erant Sophocles ac deinde Euripides tragici poetae et Hippocrates medicus et philosophus Democritus, quibus Socrates Atheniensis natu quidem posterior fuit, sed quibusdam temporibus isdem vixerunt.","Poetry"
"Gellius","Attic Nights, Book 17","Later Imperial","","In hoc tempore nobiles celebresque erant Sophocles ac deinde Euripides tragici poetae et Hippocrates medicus et philosophus Democritus, quibus Socrates Atheniensis natu quidem posterior fuit, sed quibusdam temporibus isdem vixerunt.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Quid Menander poeta Philemoni poetae dixerit, a quo saepe indigne in certaminibus comoediarum superatus est; et quod saepissime Euripides in tragoedia ab ignobilibus poetis victus est.","Poetry"
"Gellius","Attic Nights, Book 17","Later Imperial","","Quid Menander poeta Philemoni poetae dixerit, a quo saepe indigne in certaminibus comoediarum superatus est; et quod saepissime Euripides in tragoedia ab ignobilibus poetis victus est.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Nam Homerus pueros puellasque eius bis senos dicit fuisse, Euripides bis septenos, Sappho bis novenos, Bacchylides et Pindarus bis denos, quidam alii scriptores tres fuisse solos dixerunt.","Poetry"
"Gellius","Attic Nights, Book 20","Later Imperial","","Nam Homerus pueros puellasque eius bis senos dicit fuisse, Euripides bis septenos, Sappho bis novenos, Bacchylides et Pindarus bis denos, quidam alii scriptores tres fuisse solos dixerunt.","Poetry"
"Lactantius","Divinarum Institutionum","Late Antique","","ceterum Sibyllas decem numero fuisse, easque omnes enumerauit sub auctoribus qui de singulis scriptitauerint. primam fuisse de Persis, cuius mentionem fecerit Nicanor, qui res gestas Alexandri Macedonis scripsit; secundam Libyssam, cuius meminerit Euripides in Lamiae prologo;","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","ut Euripides in Phaethonte: Ὦ χρυσοφεγγές ἥλι᾽ ὡς μ᾽ ἀπώλεσας, ὅθεν σ᾽ ἀπόλλων᾽ ἐμφανῶς κλῄζει βροτός item Archilochus: ἄναξ Ἄπολλον, καὶ σὺ τοὺς μὲν αἰτίους σήμαινε, καὶ σφᾶς ὄλλυ᾽ ὥσπερ ὀλλύεις,","Poetry"
"Macrobius","Saturnalia","Late Antique","","ut Euripides in Phaethonte: Ὦ χρυσοφεγγές ἥλι᾽ ὡς μ᾽ ἀπώλεσας, ὅθεν σ᾽ ἀπόλλων᾽ ἐμφανῶς κλῄζει βροτός item Archilochus: ἄναξ Ἄπολλον, καὶ σὺ τοὺς μὲν αἰτίους σήμαινε, καὶ σφᾶς ὄλλυ᾽ ὥσπερ ὀλλύεις,","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","Quod cum et Varro et Granius Flaccus adfirment, etiam Euripides his docet: Διόνυσος ὃς θύρσοισι καὶ νεβρῶν δοραῖς καθαπτὸς ἐν πεύκαισι Παρνασσὸν κάτα πηδᾷ χορεύων","Poetry"
"Macrobius","Saturnalia","Late Antique","","Quod cum et Varro et Granius Flaccus adfirment, etiam Euripides his docet: Διόνυσος ὃς θύρσοισι καὶ νεβρῶν δοραῖς καθαπτὸς ἐν πεύκαισι Παρνασσὸν κάτα πηδᾷ χορεύων","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","...ἐλίττεσθαι περὶ τὴν γῆν , quod aeterno circa terram meatu veluti volvi videtur, ut ait Euripides:   Ἥλιε θοαῖς ἵπποισιν ἐλίσσων φλόγα, ἢ ὅτι συναλισθέντος πολλοῦ πυρὸς περιπολεῖ,...","Poetry"
"Macrobius","Saturnalia","Late Antique","","...ἐλίττεσθαι περὶ τὴν γῆν , quod aeterno circa terram meatu veluti volvi videtur, ut ait Euripides:   Ἥλιε θοαῖς ἵπποισιν ἐλίσσων φλόγα, ἢ ὅτι συναλισθέντος πολλοῦ πυρὸς περιπολεῖ,...","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","Unde Euripides: — Πυριγενὴς δὲ δράκων  ὁδὸν ἡγεῖται ταῖς τετραμόρφοις  ὥραισι ζευγνὺς ἁρμονίᾳ  πλούτου πολύκαρπον ὄχημα.","Poetry"
"Macrobius","Saturnalia","Late Antique","","Unde Euripides: — Πυριγενὴς δὲ δράκων  ὁδὸν ἡγεῖται ταῖς τετραμόρφοις  ὥραισι ζευγνὺς ἁρμονίᾳ  πλούτου πολύκαρπον ὄχημα.","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","Et, ne quis opinetur diversis dis Parnasum montem dicatum, idem Euripides in Licymnio Apollinem Liberumque unum eundemque deum esse significans scribit: Δέσποτα φιλόδαφνε Βάκχε, Παιὰν ἄπολλων εὔλυρε.","Poetry"
"Macrobius","Saturnalia","Late Antique","","Et, ne quis opinetur diversis dis Parnasum montem dicatum, idem Euripides in Licymnio Apollinem Liberumque unum eundemque deum esse significans scribit: Δέσποτα φιλόδαφνε Βάκχε, Παιὰν ἄπολλων εὔλυρε.","Poetry"
"Macrobius","Saturnalia, Book 1","Late Antique","","...esse accipimus, manet inmobilis intra domum deorum, id est intra mundum, ut ait Euripides: Καὶ Γαῖα μῆτερ, Ἑστίαν δέ σ᾽ οἱ σοφοὶ Βροτῶν καλοῦσιν ἡμένην ἐν αἰθέρι.  Hinc quoque...","Poetry"
"Macrobius","Saturnalia","Late Antique","","...esse accipimus, manet inmobilis intra domum deorum, id est intra mundum, ut ait Euripides: Καὶ Γαῖα μῆτερ, Ἑστίαν δέ σ᾽ οἱ σοφοὶ Βροτῶν καλοῦσιν ἡμένην ἐν αἰθέρι.  Hinc quoque...","Poetry"
"Macrobius","Saturnalia, Book 5","Late Antique","","...fuisse uno tantummodo pede calceato in bellum ire ostendit clarissimus scriptor Euripides tragicus, in cuius tragoedia quae Meleager inscribitur nuntius inducitur describens...","Poetry"
"Macrobius","Saturnalia","Late Antique","","...fuisse uno tantummodo pede calceato in bellum ire ostendit clarissimus scriptor Euripides tragicus, in cuius tragoedia quae Meleager inscribitur nuntius inducitur describens...","Poetry"
"Macrobius","Saturnalia, Book 5","Late Antique","","Euripides enim inducit Minervam ventos contra Graecorum classem a Neptuno petentem dicentemque debere illum facere quod Iuppiter fecerit, a quo in Graecos fulmen acceperit.","Poetry"
"Macrobius","Saturnalia","Late Antique","","Euripides enim inducit Minervam ventos contra Graecorum classem a Neptuno petentem dicentemque debere illum facere quod Iuppiter fecerit, a quo in Graecos fulmen acceperit.","Poetry"
"Macrobius","Saturnalia","Late Antique","","...Et Eratosthenes testatur idem:Καὶ βαθὺν ἀκρήτῳ πνεύμονα τεγγόμενος.Euripides vero huius rei manifestissimus astipulator est;Οὶνος περάσας πλευμόνων διαῤῥοάς.","Poetry"
"Macrobius","Saturnalia, Book 7","Late Antique","","...Et Eratosthenes testatur idem:Καὶ βαθὺν ἀκρήτῳ πνεύμονα τεγγόμενος.Euripides vero huius rei manifestissimus astipulator est;Οὶνος περάσας πλευμόνων διαῤῥοάς.","Poetry"
"Macrobius","Saturnalia","Late Antique","","...in ipsis vel paululum detinetur horret ammonitionem et formidat relatum. Id adeo Euripides expressit: Ὡς ἡδύ τοι σωθέντα μεμνῆσθαι πόνων.Adiecit enim σώθεντα, ut ostenderet...","Poetry"
"Macrobius","Saturnalia, Book 7","Late Antique","","...in ipsis vel paululum detinetur horret ammonitionem et formidat relatum. Id adeo Euripides expressit: Ὡς ἡδύ τοι σωθέντα μεμνῆσθαι πόνων.Adiecit enim σώθεντα, ut ostenderet...","Poetry"
"Dante","Divina Comedia, Book 3","Medieval","","OO Nobiscum Euripides, nobiscum it lusor amorum Teius antiquus, CEUsque AGATHoque poetae, Atque alii, lauro queis vinxit Achaia frontem.","Poetry"
"Dante","Divina Comedia","Medieval","","OO Nobiscum Euripides, nobiscum it lusor amorum Teius antiquus, CEUsque AGATHoque poetae, Atque alii, lauro queis vinxit Achaia frontem.","Poetry"
"Polignac","Epia","Modern","","Euripides aut quos claro cognomine Grai","Poetry"
