input,output
"credo Platonem vix potasse satis consonum fore, si hominem id aetatis in tam longo sermone diutius retinuisset.",MODERATELY POSITIVE
"Cicerones pueri amant inter se, discunt, exercentur, sed alter, ut Isocrates dixit in Ephoro et Theopompo, frenis eget, alter calcaribus.",MODERATELY NEGATIVE
Terenti nullum vestigium adgnovi;,MODERATELY NEGATIVE
"Sed iam ad te ipsum reverter : ain tandem, Attice, laudator integritatis et elegantiae nostrae, „ausus es hoc ex ore tuo "" (inquit Ennius), ut equites Scaptio ad pecuniam cogendam darem, me rogare?",MODERATELY POSITIVE
"Sed haec fuerit, ut ait Thucydides, '' non inutilis.",MODERATELY NEGATIVE
"etenim si hoc non est, nulla potest homini esse ad hominem naturae adiunctio, qua sublata vitae societas tollitur. „bene eveniat!"" inquit Carneades; spurce, sed tamen prudentius quam Lucius noster et Patron,",EXTREMELY NEGATIVE
"nostrum quidem si est peccatum, in eo est, quod non ut de oppido locutus sum sed ut de loco secutusque sum non dico Caecilium: „mane ut ex portu in Piraeum"" (malus enim auctor latinitatis est),",EXTREMELY NEGATIVE
"sed Terentium, cuius fabellae propter elegantiam sermonis putabantur a C. Laelio scribi",EXTREMELY POSITIVE
Aenigma succonum ex Velia plane non intellexi est enim numero Platonis obscurior.,MODERATELY NEGATIVE
"intellego serius equidem, quam vellem, propter epistulas sermonesque Balbi, sed video plane nihil aliud agi, nihil actum ab initio, nisi ut hunc occideret. ego igitur, sicut apud Homerum, cui et mater et dea dixisset:",EXTREMELY NEGATIVE
"In his locis opinio est coniectura magis quam nuntio aut litteris Caesarem Formüs a. d. X I Kal. Apriles fore, hic ego vellem habere Homeri illam Minervam simulatam Mentori, cui dicerem: ''; nullam rem umquam difficiliorem cogitavi, sed cogito tamen nec ero ut in malis imparatus.",MODERATELY NEGATIVE
"Et tamen, mi Attice, auguria quoque me incitant quaedam spe non dubia, пес haec collegii nostri ab Atto, sed illa Platonis de tyrannis; nullo enim modo posse video stare istum diutius,",EXTREMELY POSITIVE
"excellentes tulerunt, nisi forte me Sardanapali vicem in suo lectulo mori malle censueris, quam exsilio Themistocleo, qui, cum fuisset, ut ait Thucydides,",EXTREMELY NEGATIVE
"mihi quidem gratum, et erit gradus, si non modo in tuis libris sed etiam in aliorum per librarios tuos „Aristophanem"" reposueris pro „Eupoli"".",MODERATELY POSITIVE
"De Epicuro: ut voles; etsi '' in posterum genus hoc personarum. incredibile est, quam ea quidam requirant.",MODERATELY NEGATIVE
"quibus consulibus Carneades et ea legatio Romam venerit, scriptum est in tuo annali;",MODERATELY POSITIVE
praeterea: qui eo tempore nobilis Epicureus fuerit Athenisque praefuerit hortis;,MODERATELY POSITIVE
"nam hoc etiam Hesiodus ascribit,",MODERATELY POSITIVE
"ita confeci quinqué libros 'de finibus', ut Epicurea L.Torquato, Stoica M. Catoni darem. id fore putaram, quod omnes decesserant.",MODERATELY NEGATIVE
nec est meUus quicquam quam ut Lucilius:,MODERATELY NEGATIVE
semperque Carneades '' pugilis et retentionem aurigae similem facit ''. inhibitio autem remigum motum habet et vehementiorem quidem remigationis navem convertentis ad puppim.,MODERATELY NEGATIVE
"Dic mihi, placetne tibi primum edere iniussu meo ? hoc ne Hermodorus quidem faciebat, is qui Platonis libros solitus est divulgare,",MODERATELY NEGATIVE
"u non vides ipsum ilium Aristoteli discipulum summo ingenio, summa modestia, postea quam rex appellatus sit, superbum, crudelem, immoderatum fuisse ?",VERY NEGATIVE
"Mi, sicunde potes, erues, qui decern legati Mummio fuerint. Polybius non nominat.",MODERATELY NEGATIVE
"Ante lucem cum scriberem contra Epicureos, de eodem oleo et opera exaravi nescio quid ad te et ante lucem dedi.",MODERATELY NEGATIVE
"Nunc me iuva, mi Attice, consilio, '', id est utrum aperte hominem asperner et respuam ''. ut enim Pindaro sic ''. omnino moribus meis illud aptius, sed hoc fortasse temporibus.",MODERATELY NEGATIVE
non scite; hoc enim Atilius poeta durissimus.,MODERATELY NEGATIVE
Epicuri mentionem facis et audes dicere,MODERATELY NEGATIVE
Pindaro de Cumano negaram.,MODERATELY NEGATIVE
"itaque perstringam sine ulla contumelia Siccae aut Septimiae, tantum ut sciant '' sine vallo Luciliano eum ex Galli Fadi filia liberos habuisse.",MODERATELY NEGATIVE
"cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur.",MODERATELY POSITIVE
"cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur.",MODERATELY POSITIVE
"Cyrus ille a Xenophonte non ad historiae fidem scriptus sed ad effigiem iusti imperii, cuius summa gravitas ab illo philosopho cum singulari comitate coniungitur - quos quidem libros non sine causa noster ille Africanus demanibus ponere non solebat; nullum est enim praetermissum in iis officium diligentis et moderati imperii",EXTREMELY POSITIVE
Atque ille quidem princeps ingenii et doctrinae Plato,MODERATELY POSITIVE
"qui neque Cyrum Xenophontis neque Agesilaum noverint, quorum regum summo imperio nemo umquam verbum ullum asperius audivit",EXTREMELY POSITIVE
is Athenis apud Patronem Epicureum pro libero fuit;,MODERATELY NEGATIVE
"postea Plato quidam Sardianus, Epicureus, qui Athenis solet esse multum et qui tum Athenis fuerat, cum Licinus eo venisset, cum eum fugitivum esse postea ex Aesopi litteris cognosset, hominem comprehendit et in custodiam Ephesi tradidit, sed in publicamne an in pistrinum, non satis",EXTREMELY NEGATIVE
"postea Plato quidam Sardianus, Epicureus, qui Athenis solet esse multum et qui tum Athenis fuerat, cum Licinus eo venisset, cum eum fugitivum esse postea ex Aesopi litteris cognosset, hominem comprehendit et in custodiam Ephesi tradidit, sed in publicamne an in pistrinum, non satis",EXTREMELY NEGATIVE
"Lucreti poemata, ut scribis, ita sunt, multis luminibus ingenii, multae tarnen artis; sed cum veneris.",MODERATELY POSITIVE
"itaque ad Callisthenem et ad Philistum redeo, in quibus te video volutatum.",MODERATELY POSITIVE
"Callisthenes quidem vulgare et notum negotium, quemadmodum aliquot Graeci locuti sunt",EXTREMELY POSITIVE
"Siculus ille capitalis, creber, acutus, brevis, paene pusillus Thucydides, sed utros eius habueris libros",EXTREMELY POSITIVE
"edit mihi epistulam legendam tuam, quam paulo ante acceperat, Aristophaneo modo valde mehercule et suavem et gravem; qua sum admodum delectatus",EXTREMELY POSITIVE
"cum ad illum scribas, nihil te recordari de epistulis illis, quas in Tusculano eius tu mihi ostendisti, nihil de praeceptis Epicharmi, '', totum denique vultum, sermonem, animum eius, quemadmodum conicio, quasi * * * ; sed haec tu videris.",EXTREMELY NEGATIVE
"Aristotelem denique, quae de re publica et praestante viro scribat, ipsum loqui.",EXTREMELY POSITIVE
"Romae et maxime in Appia a Martis mira proluvies; Crassipedis ambulatio ablata, horti, tabernae plurimae; magna vis aquae usque ad piscinam publicam. viget illud Homeri:''",MODERATELY POSITIVE
